payment_id,payment_order_id,payment_amount,payment_fee,payment_method,payment_status
4454167,69387079,164320,2480,ONLINE,PAID
4454171,69387169,489560,7360,ONLINE,PAID
4454172,69387244,86200,1280,ONLINE,PAID
4454173,69387244,20000,0,VOUCHER,PAID
4454174,69387279,344800,5160,ONLINE,PAID
4454179,69387486,619600,12400,ONLINE,PAID
4454183,69387655,204000,0,ONLINE,PAID
4454188,69387898,188800,2640,ONLINE,PAID
4454191,69388339,277560,0,ONLINE,PAID
4454197,69388577,302800,4240,ONLINE,PAID
4454203,69388891,104000,1560,ONLINE,PAID
4454204,69388892,377000,10160,ONLINE,PAID
4454205,69389005,759600,20520,ONLINE,PAID
4454223,69389169,874000,17480,ONLINE,PAID
4454208,69389180,63200,960,ONLINE,PAID
4454209,69389180,48000,0,VOUCHER,PAID
4454212,69389243,247200,6680,ONLINE,PAID
4454220,69389482,585200,15800,ONLINE,PAID
4454226,69389777,938000,25320,ONLINE,PAID
4454228,69389804,718400,19400,ONLINE,PAID
4454230,69389834,591200,15960,ONLINE,PAID
4454238,69390095,235160,3520,ONLINE,PAID
4454239,69390095,48000,0,VOUCHER,PAID
4454253,69390473,158000,2360,ONLINE,PAID
4454257,69390616,301600,4240,ONLINE,PAID
4454262,69390759,561200,15160,ONLINE,PAID
4454267,69390776,1295800,25920,ONLINE,PAID
4454266,69390779,88200,1320,ONLINE,PAID
4454274,69390783,3120000,62400,ONLINE,PAID
4454269,69390785,128000,1920,ONLINE,PAID
4454273,69390808,145680,2200,ONLINE,PAID
4454290,69391281,331400,8960,ONLINE,PAID
4454303,69391647,167200,2160,ONLINE,PAID
4454304,69391648,133200,2000,ONLINE,PAID
4454306,69391723,152000,4120,ONLINE,PAID
4454314,69392083,151600,4080,ONLINE,PAID
4454315,69392084,128000,1920,ONLINE,PAID
4454316,69392085,163520,2440,ONLINE,PAID
4454318,69392174,155200,2320,ONLINE,PAID
4454319,69392224,644800,17400,ONLINE,PAID
4454321,69392265,124800,1240,ONLINE,PAID
4454322,69392265,48000,0,VOUCHER,PAID
4454323,69392266,279600,4200,ONLINE,PAID
4454329,69392608,251600,3760,ONLINE,PAID
4454333,69393239,170000,2400,ONLINE,PAID
4454335,69393279,154000,2160,ONLINE,PAID
